ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
SpM1_ChORF1527_s_at			3.08	2.135
SpM1_ChORF1528_s_at			2.611	2.575
SpM1_ChORF1530_s_at			1.636	1.727
SpM1_ChORF1531_s_at	dpr	putative peroxide resistance protein	3.349	1.771
SpM1_ChORF1532_s_at			3.612	1.9
SpM1_ChORF1534_s_at			2.934	1.72
SpM1_ChORF1538_s_at			2.811	2.69
SpM1_ChORF1541_s_at			4.043	2.771
SpM1_ChORF1542_s_at			2.994	3.225
SpM1_ChORF1544_s_at			2.623	2.764
SpM1_ChORF1546_s_at			1.91	1.88
SpM1_ChORF1547_s_at			2.536	1.842
SpM1_ChORF1552_s_at			3.022	2.586
SpM1_ChORF1556_s_at			2.706	2.725
SpM1_ChORF1557_s_at	msrA	putative peptide methionine sulfoxide reductase	2.268	2.383
SpM1_ChORF1558_s_at			3.365	2.359
SpM1_ChORF1561_s_at			2.354	2.265
SpM1_ChORF1563_s_at			2.366	2.426
SpM1_ChORF1565_s_at			3.353	2.409
SpM1_ChORF1566_s_at			3.293	2.625
SpM1_ChORF1567_s_at			2.692	2.455
SpM1_ChORF1575_s_at			2.415	2.033
SpM1_ChORF1576_s_at			3.264	2.311
SpM1_ChORF1577_s_at			3.678	1.909
SpM1_ChORF1580_s_at			3.525	2.27
SpM1_ChORF1582_s_at			3.71	2.823
SpM1_ChORF1586_s_at			2.903	2.146
SpM1_ChORF1587_s_at			3.91	2.603
SpM1_ChORF1588_s_at			2.794	2.596
SpM1_ChORF1591_s_at			3.597	2.43
SpM1_ChORF1595_s_at			2.379	1.867
SpM1_ChORF1600_s_at			2.857	1.815
SpM1_ChORF1605_s_at			3.921	2.324
SpM1_ChORF1613_s_at			3.02	2.851
SpM1_ChORF1615_s_at			3.598	2.348
SpM1_ChORF1616_s_at			3.139	2.41
SpM1_ChORF1621_s_at			2.708	2.179
SpM1_ChORF1629_s_at	priA	putative primosomal replication factor Y	2.238	2.298
SpM1_ChORF1633_s_at			3.094	2.677
SpM1_ChORF1634_s_at			3.81	3.108
SpM1_ChORF1638_s_at			3.139	3.177
SpM1_ChORF1640_s_at			2.976	2.039
SpM1_ChORF1643_s_at			3.757	3.162
SpM1_ChORF1649_s_at	pbp1A	putative penicillin-binding protein 1a	2.444	2.089
SpM1_ChORF1651_s_at	pepC	putative cysteine aminopeptidase C	3.689	2.662
SpM1_ChORF1654_s_at			3.368	2.727
SpM1_ChORF1659_s_at			4.149	2.858
SpM1_ChORF1664_s_at	pbpX	putative penicillin binding protein 2X	3.262	2.406
SpM1_ChORF1666_s_at			3.789	2.283
SpM1_ChORF1670_s_at	proA	putative gamma-glutamyl phosphate reductase	3.304	2.12
SpM1_ChORF1673_at			1.965	1.833
SpM1_ChORF1673_s_at			3.69	2.977
SpM1_ChORF1675_s_at			4.071	2.72
SpM1_ChORF1678_s_at			2.912	1.746
SpM1_ChORF1681_s_at			2.267	2.152
SpM1_ChORF1682_s_at	glpF	putative glycerol uptake facilitator	2.983	1.974
SpM1_ChORF1684_s_at	glpK	putative glycerol kinase	3.372	2.794
SpM1_ChORF1686_s_at			4.085	2.04
SpM1_ChORF1687_s_at			2.377	2.348
SpM1_ChORF1688_at	glyS	putative glycyl-tRNA synthetase (beta subunit)	3.043	3.184
SpM1_ChORF1689_s_at	glyQ	putative glycyl-tRNA synthetase (alpha subunit)	3.158	3.08
SpM1_ChORF1691_s_at			2.219	1.822
SpM1_ChORF1693_s_at			2.248	1.859
SpM1_ChORF1694_s_at	nagA	putative N-acetylglucosamine-6-phosphate deacetylase	2.44	1.706
SpM1_ChORF1698_s_at			2.622	2.559
SpM1_ChORF1701_s_at			2.773	1.782
SpM1_ChORF1704_s_at	lacD.1	putative tagatose 1,6-diphosphate aldolase	3.858	2.392
SpM1_ChORF1707_at	lacB.1	putative galactose-6-phosphate isomerase	2.535	2.392
SpM1_ChORF1708_s_at	lacA.1	putative galactose-6-phosphate isomerase	3.436	2.646
SpM1_ChORF1710_s_at			3.039	1.698
SpM1_ChORF1711_s_at			2.117	2.281
SpM1_ChORF1715_s_at	copA	putative cation-transporting ATP-ase - copper transport operon	2.349	2.361
SpM1_ChORF1717_at	copY	putative negative transcriptional regulator - cpooer transport operon	3.157	2.481
SpM1_ChORF1727_s_at			2.714	2.607
SpM1_ChORF1728_s_at			3.385	1.83
SpM1_ChORF1729_s_at			2.981	2.094
SpM1_ChORF1730_s_at	hit	putative cell-cycle regulation histidine triad (HIT) protein	3.551	2.68
SpM1_ChORF1735_s_at			3.589	1.982
SpM1_ChORF1736_s_at			3.325	3.131
SpM1_ChORF1740_s_at	manN	putative mannose-specific phosphotransferase system component IID	3.21	1.765
SpM1_ChORF1741_s_at			4.17	2.922
SpM1_ChORF1742_s_at	serS	putative seryl-tRNA synthetase	3.307	2.973
SpM1_ChORF1743_s_at			3.094	2.644
SpM1_ChORF1745_s_at			3.934	2.488
SpM1_ChORF1747_s_at			3.102	2.897
SpM1_ChORF1748_s_at	fabF	putative beta-ketoacyl-ACP synthase II	2.591	1.666
SpM1_ChORF1749_s_at	fabG	putative beta-ketoacyl-ACP reductase	2.177	1.798
SpM1_ChORF1751_s_at	fabK	putative trans-2-enoyl-ACP reductase II	2.634	2.158
SpM1_ChORF1758_s_at	phaB	putative enoyl CoA hydratase	2.907	1.666
SpM1_ChORF1761_s_at	grpE	putative Hsp-70 cofactor	3.153	2.309
SpM1_ChORF1764_s_at			2.506	2.705
SpM1_ChORF1765_s_at			3.049	2.174
SpM1_ChORF1766_s_at			3.557	2.98
SpM1_ChORF1768_s_at			2.931	2.934
SpM1_ChORF1769_s_at			2.112	1.929
SpM1_ChORF1779_s_at			3.16	2.101
SpM1_ChORF1780_s_at			3.129	2.617
SpM1_ChORF1782_s_at			3.504	2.112
SpM1_ChORF1787_s_at			5.159	3.6
SpM1_ChORF1788_s_at			3.165	2.177
SpM1_ChORF1789_s_at			2.979	2.048
SpM1_ChORF1791_s_at			3.505	2.226
SpM1_ChORF1794_s_at			2.532	2.406
SpM1_ChORF1795_s_at			2.392	1.704
SpM1_ChORF1802_s_at			3.474	2.36
SpM1_ChORF1804_s_at			3.775	2.348
SpM1_ChORF1805_s_at	secA	putative preprotein translocase binding subunit (ATPase)	1.686	1.752
SpM1_ChORF1810_s_at	pmi	putative mannose-6-phosphate isomerase	1.932	1.763
SpM1_ChORF1816_s_at	scrB	putative sucrose-6-phosphate hydrolase	4.057	3.501
SpM1_ChORF1817_s_at	scrR	putative sucrose operon repressor	3.373	1.753
SpM1_ChORF1820_s_at			3.817	2.761
SpM1_ChORF1821_s_at	efp	putative translation elongation factor EF-P	3.147	1.736
SpM1_ChORF1823_s_at			3.057	1.854
SpM1_ChORF1825_at	uvrA	putative excinuclease ABC (subunit A)	3.089	2.433
SpM1_ChORF1829_s_at	rpsR	30S ribosomal protein S18	4.559	2.902
SpM1_ChORF1844_s_at			2.672	2.462
SpM1_ChORF1850_s_at			2.653	2.601
SpM1_ChORF1857_s_at			2.649	2.173
SpM1_ChORF1858_s_at	pepXP	putative X-Pro dipeptidyl-peptidase IV	2.622	2.303
SpM1_ChORF1862_s_at			2.813	1.914
SpM1_ChORF1863_s_at			2.937	1.858
SpM1_ChORF1866_s_at			2.027	1.881
SpM1_ChORF1868_s_at	nupC	putative nucleoside transporter	3.796	2.131
SpM1_ChORF1869_s_at	udp	putative uridine phosphorylase	2.432	2.147
SpM1_ChORF1871_s_at	rpsN2	30S ribosomal protein S14	4.132	2.491
SpM1_ChORF1873_s_at			4.067	3.524
SpM1_ChORF1874_s_at			4.179	2.89
SpM1_ChORF1876_s_at			2.251	2.218
SpM1_ChORF1878_s_at			3.794	2.691
SpM1_ChORF1879_s_at			2.499	2.31
SpM1_ChORF1886_s_at			1.968	1.933
SpM1_ChORF1888_s_at	rpmB	50S ribosomal protein L28	2.942	2.838
SpM1_ChORF1894_s_at	pyrG	putative CTP synthetase	2.26	2.21
SpM1_ChORF1895_s_at	rpoE	putative DNA-directed RNA polymerase (delta subunit)	2.889	1.683
SpM1_ChORF1899_s_at			4.906	4.065
SpM1_ChORF1900_s_at	thiD	putative phosphomethylpyrimidine kinase	2.817	2.464
SpM1_ChORF1904_s_at	hsdR	putative type I site-specific deoxyribonuclease	2.702	2.122
SpM1_ChORF1905_s_at	hsdS	putative type I site-specific deoxyribonuclease	2.991	1.902
SpM1_ChORF1916_s_at	lacG	putative phospho-beta-D-galactosidase	4.233	3.643
SpM1_ChORF1919_s_at	lacD.2	putative tagatose 1,6-diphosphate aldolase	2.031	2.016
SpM1_ChORF1924_s_at	lacR.2	putative lactose phosphotransferase system repressor protein	5.371	3.774
SpM1_ChORF1932_s_at	rplM	50S ribosomal protein L13	1.972	1.761
SpM1_ChORF1942_s_at			2.418	2.05
SpM1_ChORF1945_s_at			2.521	2.326
SpM1_ChORF1946_s_at	pnpA	putative polynucleotide phosphorylase, alpha chain	2.003	2.129
SpM1_ChORF1949_s_at			4.027	3.403
SpM1_ChORF1950_s_at			3.005	1.691
SpM1_ChORF1955_s_at	rpsO	30S ribosomal protein S15	2.172	2.269
SpM1_ChORF1958_s_at	def	putative polypeptide deformylase	2.911	1.713
SpM1_ChORF1965_s_at	uppS	putative undecaprenyl pyrophosphate synthetase	3.606	2.83
SpM1_ChORF1968_s_at			1.973	1.756
SpM1_ChORF1973_at	dexB	dextran glucosidase	3.278	2.4
SpM1_ChORF1981_s_at	relA	(p)ppGpp synthetase	3.447	2.386
SpM1_ChORF1983_at	scl	collagen-like surface protei	2.395	2.59
SpM1_ChORF1984_s_at			2.746	2.02
SpM1_ChORF1992_s_at			2.713	2.118
SpM1_ChORF1999_at			4.369	3.052
SpM1_ChORF2000_s_at	dppA	surface lipoprotein	2.639	2.059
SpM1_ChORF2001_s_at	dppB	transmembrane transport protein	3.142	2.262
SpM1_ChORF2005_s_at			2.067	2.212
SpM1_ChORF2006_s_at			4.243	3.54
SpM1_ChORF2009_at			3.092	2.521
SpM1_ChORF2010_s_at	scpA	C5A peptidase precursor	2.193	1.635
SpM1_ChORF2018_at	emm1	M protein type 1	3.635	2.771
SpM1_ChORF2019_s_at	mga	M protein trans-acting positive regulator	2.794	1.814
SpM1_ChORF2023_s_at			2.558	2.644
SpM1_ChORF2031_s_at			2.147	1.71
SpM1_ChORF2033_s_at			2.219	2.113
SpM1_ChORF2039_s_at	speB	pyrogenic exotoxin B	2.524	2.322
SpM1_ChORF2040_at			2.91	2.154
SpM1_ChORF2041_s_at			2.412	1.764
SpM1_ChORF2043_s_at	mf	mitogenic factor	3.008	2.691
SpM1_ChORF2048_s_at	mipB	putative transaldolase-like protein	2.006	2.258
SpM1_ChORF2049_s_at	pflD	putative pyruvate formate-lyase 2	2.959	1.855
SpM1_ChORF2059_s_at	pbp2A	penicillin-binding protein 2a	3.031	2.688
SpM1_ChORF2063_s_at			3.377	3.08
SpM1_ChORF2066_s_at			3.091	3.109
SpM1_ChORF2073_s_at			2.88	2.804
SpM1_ChORF2080_s_at	nox1	putative NADH oxidase/alkyl hydroperoxidase reductase	1.847	1.645
SpM1_ChORF2081_s_at	hutI	putative imidazolonepropionase (imidazolone-5-propionate hydrolase)	2.665	2.074
SpM1_ChORF2083_s_at			2.681	1.647
SpM1_ChORF2087_s_at			4.224	2.897
SpM1_ChORF2088_s_at			2.128	2.099
SpM1_ChORF2090_s_at	hutG	putative formiminoglutamate hydrolase	2.083	1.79
SpM1_ChORF2092_s_at	rpsB	30S ribosomal protein S2	2.961	2.207
SpM1_ChORF2106_s_at			2.719	1.978
SpM1_ChORF2107_s_at			2.257	1.672
SpM1_ChORF2113_s_at			3.617	3.447
SpM1_ChORF2118_s_at	tag	putative 3-methyl-adenine DNA glycosylase I, constitutive	3.776	2.134
SpM1_ChORF2120_s_at	lmrP	putative integral membrane protein	3.834	2.573
SpM1_ChORF2122_at	int4	putative integrase - phage associated	2.628	1.73
SpM1_ChORF2126_at			3.14	2.186
SpM1_ChORF2127_at			2.588	1.738
SpM1_ChORF2129_at			2.75	1.716
SpM1_ChORF2130_s_at			2.568	1.808
SpM1_ChORF2132_at			2.672	1.92
SpM1_ChORF2136_at			2.197	2.021
SpM1_ChORF2147_at			2.528	1.985
SpM1_ChORF2148_s_at	mutS	putative DNA mismatch repair protein	2.056	1.795
SpM1_ChORF2149_s_at			3.267	2.323
SpM1_ChORF2151_s_at			2.16	1.93
SpM1_ChORF2153_s_at			2.739	1.833
SpM1_ChORF2156_s_at			2.278	2.147
SpM1_ChORF2157_s_at	hisS	putative histidine-tRNA ligase	2.282	2.437
SpM1_ChORF2159_s_at	rpmF	50S ribosomal protein L32	2.738	2.685
SpM1_ChORF2163_s_at			4.938	4.061
SpM1_ChORF2164_s_at			3.435	2.433
SpM1_ChORF2165_s_at			3.142	2.487
SpM1_ChORF2169_s_at			2.495	1.98
SpM1_ChORF2170_at			2.428	2.519
SpM1_ChORF2172_s_at			3.648	1.697
SpM1_ChORF2173_s_at			3.429	2.511
SpM1_ChORF2181_s_at			3.741	2.738
SpM1_ChORF2182_s_at	holB	DNA polymerase III delta prime subunit	3.596	1.851
SpM1_ChORF2184_s_at			2.608	2.725
SpM1_ChORF2185_at	gidA	glucose inhibited division protein	2.311	1.768
SpM1_ChORF2186_s_at			1.992	2.211
SpM1_ChORF2188_s_at			2.011	2.179
SpM1_ChORF2189_s_at	sdhB	putative L-serine dehydratase beta subunit	3.278	2.822
SpM1_ChORF2190_s_at	sdhA	putative L-serine dehydratase alpha subunit	3.083	2.691
SpM1_ChORF2191_s_at			4.536	2.935
SpM1_ChORF2193_s_at			3.306	2.583
SpM1_ChORF2196_s_at	pgsA	phosphatidylglycerophosphate synthase	2.538	2.354
SpM1_ChORF2200_s_at	hasA	hyaluronate synthase	3.067	1.938
SpM1_ChORF2207_s_at	trsA	putative tryptophanyl-tRNA synthetase	3.1	2.145
SpM1_ChORF2209_s_at			4.623	4.206
SpM1_ChORF2215_s_at			4.43	2.642
SpM1_ChORF2217_s_at	spoJ	putative chromosome segregation protein	2.727	2.587
SpM3_ChORF0098_at			3.289	1.999
SpM3_ChORF0100_at			3.22	2.517
SpM3_ChORF0341_s_at			2.768	1.946
SpM3_ChORF0388_s_at			3.646	2.246
SpM3_ChORF0391_at			1.832	1.653
SpM3_ChORF0493_s_at			3.065	3.196
SpM3_ChORF0503_s_at			2.635	2.319
SpM3_ChORF0584_s_at			2.136	1.847
SpM3_ChORF0589_s_at			2.581	2.468
SpM3_ChORF0693_x_at			2.556	2.461
SpM3_ChORF0694_x_at			3.549	2.65
SpM3_ChORF0695_at			1.985	2.134
SpM3_ChORF0696_at			3.521	3.699
SpM3_ChORF0700_s_at			2.155	1.722
SpM3_ChORF0721_at			2.869	1.69
SpM3_ChORF0729_s_at			2.068	1.634
SpM3_ChORF0732_at			2.639	1.832
SpM3_ChORF0735_at			2.964	1.749
SpM3_ChORF0757_s_at			2.113	1.919
SpM3_ChORF0788_s_at			3.416	3.669
SpM3_ChORF0820_at			3.497	2.524
SpM3_ChORF0884_s_at			3.507	2.342
SpM3_ChORF0902_at			4.404	3.624
SpM3_ChORF0920_at			4.355	1.695
SpM3_ChORF0928_x_at			3.363	2.323
SpM3_ChORF0930_at			3.653	3.392
SpM3_ChORF0931_at			3.385	1.691
SpM3_ChORF0938_at			2.394	1.676
SpM3_ChORF0939_at			2.142	2.142
SpM3_ChORF0940_x_at			2.916	2.041
SpM3_ChORF0942_at			3.174	2.147
SpM3_ChORF0944_x_at			1.976	1.867
SpM3_ChORF0945_s_at			2.271	2.017
SpM3_ChORF0947_s_at			2.284	2.126
SpM3_ChORF0959_at			2.154	2.319
SpM3_ChORF0961_at			3.647	3.326
SpM3_ChORF0962_at			3.988	2.956
SpM3_ChORF0963_at			3.585	2.85
SpM3_ChORF0964_at			2.919	2.027
SpM3_ChORF0967_at			2.025	2.199
SpM3_ChORF0973_at			4.096	2.639
SpM3_ChORF0977_at			2.979	2.126
SpM3_ChORF0986_x_at			2.928	1.692
SpM3_ChORF0989_s_at			2.643	1.713
SpM3_ChORF1070_s_at			1.955	1.988
SpM3_ChORF1072_s_at			2.982	2.067
SpM3_ChORF1094_at			1.908	1.693
SpM3_ChORF1097_at			3.813	2.019
SpM3_ChORF1099_at			2.91	2.216
SpM3_ChORF1101_at			3.731	2.987
SpM3_ChORF1107_at			2.368	2.318
SpM3_ChORF1118_s_at			3.577	1.827
SpM3_ChORF1124_s_at			3.028	1.724
SpM3_ChORF1125_s_at			2.335	1.987
SpM3_ChORF1126_at			2.219	1.926
SpM3_ChORF1127_at			1.934	1.913
SpM3_ChORF1128_at			3.759	2.826
SpM3_ChORF1130_at			3.625	2.164
SpM49_ChORF1119-2_at			2.317	2.459
SpM49_ChORF1257-5_at			1.653	1.717
SpM49_ChORF1330-2_at			4.095	3.148
SpM49_ChORF26-1_at			2.74	1.708
SpM49_ChORF3750-5_at			3.151	2.68
SpM49_ChORF391-2_at			1.763	1.796
SpM49_ChORF4467-7_at			3.78	3.079
SpM49_ChORF6-1_at			2.395	2.233
SpM49_ChORF6658-6_s_at			2.062	2.138
SpM49_ChORF7585-10_s_at			3.951	2.16
SpM49_ChORF7585-11_s_at			2.453	1.713
SpM49_ChORF7585-13_at			4.064	3.26
SpM49_ChORF7585-17_at			3.568	1.989
SpM49_ChORF7585-21_at			3.385	2.494
SpM49_ChORF7585-22_at			2.659	2.04
SpM49_ChORF7585-23_at			2.223	1.697
SpM49_ChORF7585-24_at			3.436	2.619
SpM49_ChORF7585-26_at			3.975	2.543
SpM49_ChORF7585-29_at			2.562	1.888
SpM49_ChORF7585-30_at			2.416	2.405
SpM49_ChORF7585-32_at			2.638	1.71
SpM49_ChORF7585-33_at			2.236	2.27
SpM49_ChORF7585-34_s_at			2.404	2.458
SpM49_ChORF7585-35_at			2.156	1.842
SpM49_ChORF7585-38_at			3.266	1.69
SpM49_ChORF7585-40_at			1.762	1.666
SpM49_ChORF7585-45_s_at			2.995	2.883
SpM49_ChORF7585-4_at			3.341	3.293
SpM49_ChORF7585-7_at			3.022	2.297
SpM49_ChORF8094-13_s_at			3.636	2.818
SpM49_ChORF8094-22_at			1.967	2.015
SpM49_ChORF8094-5_at			2.928	2.114
SpM49_ChORF88-1_at			2.185	1.819
SpM49_ChORF903-2_s_at			1.671	1.658
SpM49_ChORF903-3_s_at			2.009	1.82
SpM5_ChORF-b16C31-7_s_at			3.131	2.042
SpM5_ChORF125g-172_at			1.884	1.892
SpM5_ChORF125g-178_at			2.451	2.273
SpM5_ChORF125g-189_s_at			2.626	2.226
SpM5_ChORF125g-235_at			3.174	2.281
SpM5_ChORF125g-236_at			3.49	3.006
SpM5_ChORF125g-237_at			4.231	4.103
SpM5_ChORF125g-238_at			3.693	2.136
SpM5_ChORF125g-241_at			2.221	1.705
SpM5_ChORF125g-40_at			3.456	1.911
SpM5_ChORF125g-41_at			3.087	2.821
SpM5_ChORF125g-65_x_at			2.824	2.443
SpM5_ChORF125g-6_x_at			3.163	3.188
SpM5_ChORF125g-81_at			2.186	2.128
SpM5_ChORF169a-131_at			3.522	3.185
SpM5_ChORF169a-48_at			2.799	2.331
SpM5_ChORF270b-124_at			2.149	1.975
SpM5_ChORF270b-132_at			2.48	2.571
SpM5_ChORF270b-135_s_at			2.847	1.703
SpM5_ChORF270b-141_at			2.271	1.795
SpM5_ChORF270b-143_s_at			2.458	2.157
SpM5_ChORF270b-144_s_at			2.099	1.959
SpM5_ChORF270b-146_at			2.469	1.983
SpM5_ChORF270b-149_at			2.068	2.08
SpM5_ChORF270b-152_s_at			2.721	2.257
SpM5_ChORF270b-210_s_at			2.565	1.741
SpM5_ChORF270b-31_at			2.919	2.379
SpM5_ChORF270b-337_x_at			2.56	1.689
SpM5_ChORF270b-343_at			2.769	2.173
SpM5_ChORF270b-369_at			2.427	2.043
SpM5_ChORF270b-404_s_at			2.521	1.905
SpM5_ChORF270b-419_at			2.961	2.908
SpM5_ChORF270b-528_at			2.558	2.327
SpM5_ChORF270b-538_s_at			2.239	1.979
SpM5_ChORF270b-541_x_at			1.99	2.092
SpM5_ChORF270b-554_at			2.171	1.887
SpM5_ChORF270b-557_at			2.974	2.114
SpM5_ChORF270b-5_at			3.188	1.875
SpM5_ChORF270b-69_at			2.8	2.022
SpM5_ChORF270b-6_at			1.755	1.724
SpM5_ChORF275f-139_s_at			3.093	1.709
SpM5_ChORF275f-16_x_at			3.428	2.684
SpM5_ChORF275f-245_at			2.276	2.207
SpM5_ChORF275f-5_s_at			2.709	1.874
SpM5_ChORF275f-74_at			2.044	1.687
SpM5_ChORF289e-1_at			3.893	2.056
SpM5_ChORF289e-2_s_at			2.391	1.663
SpM5_ChORF466b-1_s_at			1.963	2.028
SpM5_ChORF4P31a-181_x_at			2.466	2.088
SpM5_ChORF4P31a-199_at			1.951	1.911
SpM5_ChORF4P31a-19_s_at			3.364	2.158
SpM5_ChORF4P31a-200_at			2.299	2.093
SpM5_ChORF4P31a-205_at			3.359	1.969
SpM5_ChORF4P31a-2_at			4.873	3.418
SpM5_ChORF4P31a-86_s_at			4.473	3.033
SpM5_ChORFJ7578C-152_s_at			3.004	2.909
SpM5_ChORFJ7578C-298_at			2.976	1.636
SpM5_ChORFJ7578C-72_at			2.713	2.824
SpM5_ChORFJ7578C-81_s_at			2.431	2.52
SpyM3_1203_x_at			2.095	2.127
SpyM3_1204_at			2.626	2.348
SpyM3_1238_at			2.59	2.113
SpyM3_1239_at			3.765	2.843
SpyM3_1246_at			2.945	2.17
SpyM3_1260_at			2.606	2.055
SpyM3_1262_at			1.956	1.913
SpyM3_1266_at			2.374	2.184
SpyM3_1308_x_at			3.386	1.768
SpyM3_1353_at			3.097	2.159
SpyM3_1409_at			2.168	2.379
SpyM3_1410_at			3.904	2.148
SpyM3_1439_at			2.502	2.317
SpyM3_1441_at			3.253	2.973
SpyM3_1448_x_at			3.132	2.523
SpyM3_1458_at			2.328	1.82
SpyM3_1650_at			3.113	2.794
SpyM3_1764_at			2.112	2.116
YpeKIM_pCD1_Y0002_at	nuc	endonuclease	3.448	1.986
YpeKIM_pCD1_Y0030_at	yscB	hypothetical protein	3.686	2.01
YpeKIM_pCD1_Y0031_s_at	yscA	hypothetical protein	2.175	2.139
YpeKIM_pCD1_Y0055_at	Y0055	putative transposase	2.425	1.704
YpeKIM_pCD1_Y0061_at	D744_p5055	hypothetical protein	3.466	2.284
YpeKIM_pCD1_Y0067_at	ylpA	pseudo	3.254	2.486
YpeKIM_pCD1_Y0090_at	yadA'	pseudo	4.745	4.143
YpeKIM_pMT-1_ORF112_at			3.639	2.062
YpeKIM_pMT-1_ORF16_at			3.89	2.787
YpeKIM_pMT-1_ORF2_at			1.948	1.716
YpeKIM_pMT-1_ORF33A_s_at			2.339	2.389
YpeKIM_pMT-1_ORF4_at			2.004	1.986
YpeKIM_pMT-1_ORF53_at			2.593	1.756
YpeKIM_pMT-1_ORF95_at			2.066	1.846
YpeKIM_pMT-1_ORF96_s_at			2.377	2.244
YpeKIM_pMT-1_ORF97_s_at			2.32	1.957
YpesChrORF_YPO0001_s_at	YPO0001	flavodoxin	2.205	1.779
YpesChrORF_YPO0006_s_at	trkD	potassium transport protein Kup	3.061	1.69
YpesChrORF_YPO0007_s_at	YPO0007	D-ribose pyranase	2.986	2.988
YpesChrORF_YPO0008_s_at	rbsK	ribokinase	3.385	1.692
YpesChrORF_YPO0009_s_at	YPO0009	membrane transport protein	4.088	2.075
YpesChrORF_YPO0010_s_at	YPO0010	GntR family transcriptional regulator	2.83	2.928
YpesChrORF_YPO0012_s_at	mobB	molybdopterin-guanine dinucleotide biosynthesis protein B	2.721	2.089
YpesChrORF_YPO0013_s_at	mobA	molybdopterin-guanine dinucleotide biosynthesis protein MobA	2.105	2.305
YpesChrORF_YPO0014_s_at	YPO0014	serine/threonine protein kinase	2.94	2.633
YpesChrORF_YPO0015_s_at	dsbA	periplasmic protein disulfide isomerase I	1.874	1.871
YpesChrORF_YPO0018_s_at	tnp	transposase for the IS1541 insertion element	2.152	2.136
YpesChrORF_YPO0021_s_at	hemN	coproporphyrinogen III oxidase	3.011	2.014
YpesChrORF_YPO0024_s_at	glnA	glutamine synthetase	3.377	2.578
YpesChrORF_YPO0025_at			2.622	1.697
YpesChrORF_YPO0026_s_at	bipA	GTPase	2.929	2.443
YpesChrORF_YPO0029_s_at	YPO0029	D-tyrosyl-tRNA(Tyr) deacylase	2.368	2.481
YpesChrORF_YPO0033_s_at	YPO0033	hypothetical protein	3.239	1.819
YpesChrORF_YPO0035_s_at	gltC	sodium/glutamate symport carrier protein	2.41	2.503
YpesChrORF_YPO0036_s_at	recG	ATP-dependent DNA helicase RecG	2.482	2.456
YpesChrORF_YPO0038_s_at	spoT	bifunctional (p)ppGpp synthetase II/ guanosine-3',5'-bis pyrophosphate 3'-pyrophosphohydrolase	2.318	1.776
YpesChrORF_YPO0039_s_at	rpoZ	DNA-directed RNA polymerase subunit omega	1.977	2.124
YpesChrORF_YPO0040_s_at	gmk	guanylate kinase	2.661	1.669
YpesChrORF_YPO0041_s_at	ligB	NAD-dependent DNA ligase LigB	2.901	2.794
YpesChrORF_YPO0042_s_at	YPO0042	hypothetical protein	2.877	1.977
YpesChrORF_YPO0044_s_at	rph	ribonuclease PH	1.98	1.887
YpesChrORF_YPO0047_s_at	dut	deoxyuridine 5'-triphosphate nucleotidohydrolase	3.541	2.06
YpesChrORF_YPO0048_s_at	dfp	bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate synthase	2.068	1.915
YpesChrORF_YPO0049_s_at	radC	DNA repair protein RadC	2.982	2.829
YpesChrORF_YPO0051_s_at	rpmG	50S ribosomal protein L33	3.19	2.728
YpesChrORF_YPO0055_s_at	kdtA	3-deoxy-D-manno-octulosonic acid transferase	2.478	1.837
YpesChrORF_YPO0056_s_at	rfaC	ADP-heptose--LPS heptosyltransferase	4.493	3.062
YpesChrORF_YPO0058_s_at	rfaD	ADP-L-glycero-D-manno-heptose-6-epimerase	2.023	1.826
YpesChrORF_YPO0059_s_at	kbl	2-amino-3-ketobutyrate CoA ligase	4.474	3.514
YpesChrORF_YPO0063_s_at	YPO0063	hypothetical protein	2.142	2.299
YpesChrORF_YPO0064_s_at	YPO0064	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	1.937	1.961
YpesChrORF_YPO0065_s_at	YPO0065	hypothetical protein	3.884	2.707
YpesChrORF_YPO0071_s_at	YPO0071	methyltransferase	4.914	4.588
YpesChrORF_YPO0075_s_at	cpxP	periplasmic stress adaptor protein CpxP	4.382	3.702
YpesChrORF_YPO0076_s_at	YPO0076	hypothetical protein	2.437	2.054
YpesChrORF_YPO0077_s_at	fieF	ferrous iron efflux protein F	2.41	1.928
YpesChrORF_YPO0078_s_at	pfkA	6-phosphofructokinase	2.726	1.726
YpesChrORF_YPO0079_s_at	sbp1	sulfate transporter subunit	2.505	2.526
YpesChrORF_YPO0085_s_at	tpiA	triosephosphate isomerase	1.957	2.19
YpesChrORF_YPO0091_s_at	glpF	glycerol uptake facilitator protein	2.646	1.784
YpesChrORF_YPO0092_at			3.746	2.385
YpesChrORF_YPO0100_s_at	YPO0100	hypothetical protein	3.231	2.439
YpesChrORF_YPO0101_s_at	YPO0101	hypothetical protein	3.451	2.196
YpesChrORF_YPO0102_at	YPO0102	hypothetical protein	2.53	2.324
YpesChrORF_YPO0103_s_at	menG	ribonuclease activity regulator protein RraA	3.76	2.312
YpesChrORF_YPO0105_s_at	hslU	ATP-dependent protease ATP-binding subunit HslU	3.313	2.227
YpesChrORF_YPO0106_s_at	hslV	ATP-dependent protease peptidase subunit	3.223	1.707
YpesChrORF_YPO0110_s_at	priA	primosome assembly protein PriA	2.333	2.117
