ID	Gene.symbol	Gene.title	log2(fold change)	-log10(Pvalue)
BburgPlaORF_BBS27_at			2.877	2.844
BburgPlaORF_BBS30_x_at			2.295	2.29
BburgPlaORF_BBS32_x_at			2.295	2.544
BburgPlaORF_BBS42_at			-2.496	2.394
BburgPlaORF_BBT03_at			2.023	1.699
BburgPlaORF_BBT04_x_at			2.534	1.721
BburgPlaORF_BBT06_s_at			2.642	1.814
BburgPlaORF_BBT07_at			3.929	3.275
BburgPlaORF_BBU03_x_at			7.599	5.229
BburgPlaORF_BBU04_at			4.693	3.465
BburgPlaORF_BBU05_at			3.737	3.578
BburgPlaORF_BBU09_x_at			5.342	4.295
Cbur00003_at			4.506	4.077
Cbur00008_at			1.804	1.888
Cbur00009_at	rpsU	30S ribosomal protein S21	2.315	2.37
Cbur00021_at			2.144	2.214
Cbur00022_at			2.64	2.142
Cbur00023_at			2.698	2.906
Cbur00029_at			3.477	2.806
Cbur00030_at			3.176	1.82
Cbur00032_at			3.187	2.664
Cbur00035_at	tolQ	TolQ	4.155	3.142
Cbur00036_at			3.211	1.855
Cbur00037_at			1.789	1.66
Cbur00042_at	ruvA	Holliday junction DNA helicase RuvA	2.349	1.665
Cbur00043_at	ruvC	Holliday junction resolvase	3.768	3.232
Cbur00045_at			2.708	2.44
Cbur00047_at			2.513	1.842
Cbur00050_at			2.892	2.631
Cbur00057_x_at			2.627	1.693
Cbur00059_at			2.553	1.685
Cbur00060_s_at			1.791	1.914
Cbur00063_at	nrdA	ribonucleotide-diphosphate reductase subunit alpha	2.957	2.638
Cbur00065_at			3.105	2.647
Cbur00066_at	ptsP	phosphoenolpyruvate-protein phosphotransferase	2.696	2.334
Cbur00067_at	lgt	prolipoprotein diacylglyceryl transferase	3.084	2.527
Cbur00076_s_at			3.38	2.489
Cbur00079_at			1.985	1.786
Cbur00083_at			3.156	1.725
Cbur00085_at	yibO	2,3-bisphosphoglycerate-independent phosphoglycerate mutase	2.035	1.882
Cbur00089_at			2.183	2.058
Cbur00091_at			2.424	1.73
Cbur00093_at			2.92	2.458
Cbur00094_at			2.647	2.082
Cbur00095_at			3.32	2.187
Cbur00099_at			2.804	2.296
Cbur00103_at			1.982	1.953
Cbur00106_at			3.135	2.405
Cbur00107_at			3.796	2.031
Cbur00112_at	gpsA	NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	2.903	2.861
Cbur00113_at			3.922	2.733
Cbur00114_at			2.615	2.087
Cbur00118_at			2.517	1.862
Cbur00121_at			3.017	1.747
Cbur00122_at			4.35	2.586
Cbur00129_at			1.848	1.968
Cbur00130_at	lepA	GTP-binding protein LepA	2.969	3.091
Cbur00131_at			2.084	1.676
Cbur00132_at			3.618	2.41
Cbur00135_at	recO	DNA repair protein	3.257	2.033
Cbur00136_at			2.062	2.091
Cbur00138_at			2.893	2.916
Cbur00139_at			2.183	1.902
Cbur00141_at			3.138	2.37
Cbur00143_at			3.257	2.027
Cbur00145_at			3.191	2.988
Cbur00148_at			2.723	2.387
Cbur00151_at	gltX	glutamyl-tRNA synthetase	2.929	1.94
Cbur00155_x_at			2.336	1.692
Cbur00156_at			2.076	1.944
Cbur00157_at			4.863	2.776
Cbur00159_at			3.008	2.095
Cbur00166_at	oxyR	hydrogen peroxide-inducible genes activator	3.065	2.97
